timestamp,machine_id,machine_type,machine_status,load_percentage,production_rate,temperature,pressure,vibration,efficiency,operating_hours,maintenance_status,ambient_temperature,energy_consumption_kwh,power_kw,anomaly_flag,fault_type,hour,day_of_week,is_weekend,energy_cost,carbon_emission
2024-01-01 00:00:00,Boiler_1,Boiler,Running,37.97,19.08,33.33,1.801,1.269,0.8036,3925.38,Good,7.85,10.8196,43.278,0,None,0,0,0,1.5147,4.8688
2024-01-01 00:00:00,Compressor_1,Compressor,Idle,3.21,19.08,21.05,1.035,0.404,0.8389,3638.16,Good,7.85,0.5198,2.079,0,None,0,0,0,0.0728,0.2339
2024-01-01 00:00:00,Conveyor_1,Conveyor,Idle,3.6,19.08,20.29,1.109,0.461,0.8738,4363.69,Good,7.85,0.0997,0.399,0,None,0,0,0,0.014,0.0449
2024-01-01 00:00:00,Cooling_System_1,Cooling,Idle,3.6,19.08,20.21,1.041,0.54,0.8345,4037.29,Good,7.85,0.463,1.852,0,None,0,0,0,0.0648,0.2084
2024-01-01 00:00:00,HVAC_1,HVAC,Running,61.45,19.08,40.12,2.183,1.383,0.7686,4890.55,Good,7.85,12.1834,48.734,0,None,0,0,0,1.7057,5.4825
2024-01-01 00:00:00,Lighting_1,Lighting,Idle,2.22,19.08,23.54,1.003,0.617,0.9307,2526.74,Good,7.85,0.1276,0.51,0,None,0,0,0,0.0179,0.0574
2024-01-01 00:00:00,Motor_1,Motor,Running,46.84,19.08,34.17,1.961,1.156,0.8979,3983.05,Good,7.85,7.3049,29.219,0,None,0,0,0,1.0227,3.2872
2024-01-01 00:00:00,Motor_2,Motor,Idle,4.29,19.08,20.95,1.001,0.42,0.8846,2474.95,Good,7.85,0.3207,1.283,0,None,0,0,0,0.0449,0.1443
2024-01-01 00:00:00,Production_Line_1,ProductionLine,Running,41.46,19.08,33.35,1.826,1.299,0.8685,1076.76,Good,7.85,12.4251,49.7,0,None,0,0,0,1.7395,5.5913
2024-01-01 00:00:00,Pump_1,Pump,Idle,5.5,19.08,19.96,1.119,0.605,0.8636,923.8,Good,7.85,0.6033,2.413,0,None,0,0,0,0.0845,0.2715
